ROR_cleaned,count,year,USFF,Agency
04rc0xn13,9278,2019,TRUE,Environmental Molecular Sciences Laboratory
021nxhr62,2231,2019,TRUE,National Science Foundation
027ka1x80,1452,2019,TRUE,National Aeronautics and Space Administration
01cwqze88,165,2019,TRUE,National Institutes of Health
02916qm60,154,2019,TRUE,United States Department of Justice
05nwjp114,107,2019,TRUE,Office of Polar Programs
04byxyr05,92,2019,TRUE,Eunice Kennedy Shriver National Institute of Child Health and Human Development
01bj3aw27,67,2019,TRUE,United States Department of Energy
00j4k1h63,52,2019,TRUE,National Institute of Environmental Health Sciences
028rfb880,50,2019,TRUE,Office of Secretary of Energy
01na82s61,47,2019,TRUE,United States Department of Agriculture
00fq5cm18,38,2019,TRUE,National Institute on Drug Abuse
05335sh79,36,2019,TRUE,Office of Juvenile Justice and Delinquency Prevention
00g8hms52,30,2019,TRUE,Administration for Children and Families
05qx3fv49,27,2019,TRUE,National Institute of Food and Agriculture
02jzrsm59,25,2019,TRUE,National Institute on Alcohol Abuse and Alcoholism
04xeg9z08,25,2019,TRUE,National Institute of Mental Health
0121dpf30,24,2019,TRUE,Health Resources and Services Administration
04g4sf283,24,2019,TRUE,Office of Data Science Strategy
05gvkjb48,24,2019,TRUE,Office of the Assistant Secretary for Planning and Evaluation
04q48ey07,23,2019,TRUE,National Institute of General Medical Sciences
021adze67,22,2019,TRUE,United States Department of Education
040gcmg81,22,2019,TRUE,National Cancer Institute
03g87he71,16,2019,TRUE,Division of Environmental Biology
02z5nhe81,14,2019,TRUE,National Oceanic and Atmospheric Administration
043z4tv69,14,2019,TRUE,National Institute of Allergy and Infectious Diseases
049v75w11,13,2019,TRUE,National Institute on Aging
0447fe631,12,2019,TRUE,United States Department of Defense
042twtr12,12,2019,TRUE,Centers for Disease Control and Prevention
01n6e6j62,11,2019,TRUE,United States Agency for International Development
00rk2pe57,11,2019,TRUE,Office of Naval Research
033jnv181,10,2019,TRUE,United States Department of Health and Human Services
02caytj08,10,2019,TRUE,Defense Advanced Research Projects Agency
00vf4jm23,9,2019,TRUE,Administration for Community Living
03tns0030,9,2019,TRUE,Environmental Protection Agency
05epdh915,8,2019,TRUE,United States Army Research Office
011e9bt93,7,2019,TRUE,United States Air Force Office of Scientific Research
01s5ya894,7,2019,TRUE,National Institute of Neurological Disorders and Stroke
012pb6c26,6,2019,TRUE,National Heart Lung and Blood Institute
04k7dar27,6,2019,TRUE,United States Fish and Wildlife Service
014a5gx79,6,2019,TRUE,United States Department of Housing and Urban Development
035a68863,6,2019,TRUE,United States Geological Survey
04et59085,6,2019,TRUE,Institute of Education Sciences
03wkg3b53,5,2019,TRUE,National Eye Institute
01rvays47,5,2019,TRUE,Division of Integrative Organismal Systems
03zmjc935,4,2019,TRUE,US Forest Service
00jyr0d86,4,2019,TRUE,United States Department of Homeland Security
04mhx6838,4,2019,TRUE,National Institute on Deafness and Other Communication Disorders
00adh9b73,4,2019,TRUE,National Institute of Diabetes and Digestive and Kidney Diseases
04evh7y43,4,2019,TRUE,Division of Acquisition and Cooperative Support
00baak391,4,2019,TRUE,National Human Genome Research Institute
014geb094,3,2019,TRUE,Fulbright Program
044zqqy65,3,2019,TRUE,National Park Service
001xhss06,3,2019,TRUE,Directorate for Biological Sciences
03cd02q50,3,2019,TRUE,United States Army Medical Research and Development Command
03ccbtk93,3,2019,TRUE,Joint Fire Science Program
03v0pmy70,3,2019,TRUE,United States Department of the Interior
011hc8f90,2,2019,TRUE,DEVCOM Army Research Laboratory
05mg91w61,2,2019,TRUE,Office of Basic Energy Sciences
04b7xxn32,2,2019,TRUE,United States Social Security Administration
02xfw2e90,2,2019,TRUE,United States Department of Transportation
04qn9mx93,2,2019,TRUE,Division of Biological Infrastructure
03g2zjp07,2,2019,TRUE,Congressionally Directed Medical Research Programs
01ca2by25,2,2019,TRUE,Great Lakes Bioenergy Research Center
00372qc85,2,2019,TRUE,National Institute of Biomedical Imaging and Bioengineering
05c6y9623,2,2019,TRUE,Virginia Sea Grant
0060t0j89,2,2019,TRUE,United States National Library of Medicine
0493hgw16,2,2019,TRUE,National Institute on Minority Health and Health Disparities
004a2wv92,2,2019,TRUE,National Institute of Dental and Craniofacial Research
04pw6fb54,2,2019,TRUE,National Center for Advancing Translational Sciences
00mmn6b08,2,2019,TRUE,Office of Science
02fm3sv87,2,2019,TRUE,Office of the National Coordinator for Health Information Technology
01tnvpc68,2,2019,TRUE,Emerging Frontiers Office
02s42ys89,2,2019,TRUE,Pacific Northwest Research Station
0599wfz09,1,2019,TRUE,Animal and Plant Health Inspection Service
006zn3t30,1,2019,TRUE,National Institute of Arthritis and Musculoskeletal and Skin Diseases
01v3fsc55,1,2019,TRUE,Office of the Director of National Intelligence
00fj8a872,1,2019,TRUE,Office of the Director
00b6sbb32,1,2019,TRUE,Directorate for Engineering
0114b2m14,1,2019,TRUE,Office of Biological and Environmental Research
029b7h395,1,2019,TRUE,Directorate for Mathematical & Physical Sciences
006gmme17,1,2019,TRUE,United States Air Force
047fr0y29,1,2019,TRUE,Washington Sea Grant
03ery9d53,1,2019,TRUE,Office of Fossil Energy
00afsp483,1,2019,TRUE,United States Army
01kgxxx41,1,2019,TRUE,North Carolina Sea Grant
04jaeeg73,1,2019,TRUE,Wyoming Space Grant Consortium
02d2m2044,1,2019,TRUE,Agricultural Research Service
02xey9a22,1,2019,TRUE,Fogarty International Center
0006s4z66,1,2019,TRUE,Bureau of Justice Statistics
033mqx355,1,2019,TRUE,NOAA National Marine Fisheries Service
05xpvk416,1,2019,TRUE,National Institute of Standards and Technology
01apwpt12,1,2019,TRUE,Sandia National Laboratories
01sy5zn44,1,2019,TRUE,Bureau of Land Management
034ywsh12,1,2019,TRUE,Northeast Climate Science Center
04tz64554,1,2019,TRUE,Defense Threat Reduction Agency
025g6sc95,1,2019,FALSE,President's Emergency Plan for AIDS Relief
05wgkzg12,1,2019,TRUE,Division of Behavioral and Cognitive Sciences
00whkrf32,1,2019,TRUE,Division of Graduate Education
05r5c7c30,1,2019,TRUE,"National Institute on Disability, Independent Living, and Rehabilitation Research"
04rc0xn13,59239,2020,TRUE,Environmental Molecular Sciences Laboratory
021nxhr62,2849,2020,TRUE,National Science Foundation
027ka1x80,1480,2020,TRUE,National Aeronautics and Space Administration
05wqqhv83,707,2020,TRUE,Division of Ocean Sciences
01cwqze88,348,2020,TRUE,National Institutes of Health
05nwjp114,198,2020,TRUE,Office of Polar Programs
04q48ey07,178,2020,TRUE,National Institute of General Medical Sciences
043z4tv69,144,2020,TRUE,National Institute of Allergy and Infectious Diseases
02916qm60,138,2020,TRUE,United States Department of Justice
01na82s61,131,2020,TRUE,United States Department of Agriculture
00vf4jm23,130,2020,TRUE,Administration for Community Living
04byxyr05,129,2020,TRUE,Eunice Kennedy Shriver National Institute of Child Health and Human Development
00j4k1h63,121,2020,TRUE,National Institute of Environmental Health Sciences
040gcmg81,113,2020,TRUE,National Cancer Institute
01bj3aw27,104,2020,TRUE,United States Department of Energy
05qx3fv49,99,2020,TRUE,National Institute of Food and Agriculture
03g87he71,71,2020,TRUE,Division of Environmental Biology
012pb6c26,69,2020,TRUE,National Heart Lung and Blood Institute
01s5ya894,64,2020,TRUE,National Institute of Neurological Disorders and Stroke
049v75w11,60,2020,TRUE,National Institute on Aging
00fq5cm18,58,2020,TRUE,National Institute on Drug Abuse
001xhss06,57,2020,TRUE,Directorate for Biological Sciences
02z5nhe81,53,2020,TRUE,National Oceanic and Atmospheric Administration
04xeg9z08,44,2020,TRUE,National Institute of Mental Health
00adh9b73,42,2020,TRUE,National Institute of Diabetes and Digestive and Kidney Diseases
033jnv181,41,2020,TRUE,United States Department of Health and Human Services
04k7dar27,40,2020,TRUE,United States Fish and Wildlife Service
05p847d66,31,2020,TRUE,Directorate for Geosciences
0447fe631,31,2020,TRUE,United States Department of Defense
04pw6fb54,30,2020,TRUE,National Center for Advancing Translational Sciences
00fj8a872,28,2020,TRUE,Office of the Director
021adze67,27,2020,TRUE,United States Department of Education
00baak391,25,2020,TRUE,National Human Genome Research Institute
00g8hms52,24,2020,TRUE,Administration for Children and Families
05335sh79,22,2020,TRUE,Office of Juvenile Justice and Delinquency Prevention
05xpvk416,19,2020,TRUE,National Institute of Standards and Technology
00rk2pe57,19,2020,TRUE,Office of Naval Research
01rvays47,18,2020,TRUE,Division of Integrative Organismal Systems
004a2wv92,18,2020,TRUE,National Institute of Dental and Craniofacial Research
00b6sbb32,18,2020,TRUE,Directorate for Engineering
04mhx6838,18,2020,TRUE,National Institute on Deafness and Other Communication Disorders
03zmjc935,18,2020,TRUE,US Forest Service
035a68863,17,2020,TRUE,United States Geological Survey
03wkg3b53,17,2020,TRUE,National Eye Institute
025kzpk63,17,2020,TRUE,Directorate for Computer & Information Science & Engineering
05epdh915,16,2020,TRUE,United States Army Research Office
00372qc85,16,2020,TRUE,National Institute of Biomedical Imaging and Bioengineering
014bj5w56,16,2020,TRUE,Directorate for STEM Education (EDU)
01n6e6j62,13,2020,TRUE,United States Agency for International Development
042twtr12,13,2020,TRUE,Centers for Disease Control and Prevention
006zn3t30,13,2020,TRUE,National Institute of Arthritis and Musculoskeletal and Skin Diseases
02d2m2044,12,2020,TRUE,Agricultural Research Service
044zqqy65,11,2020,TRUE,National Park Service
02caytj08,11,2020,TRUE,Defense Advanced Research Projects Agency
02xfw2e90,10,2020,TRUE,United States Department of Transportation
011e9bt93,10,2020,TRUE,United States Air Force Office of Scientific Research
03w1s3j27,10,2020,TRUE,Integrative Graduate Education and Research Traineeship
03v0pmy70,9,2020,TRUE,United States Department of the Interior
03ccbtk93,8,2020,TRUE,Joint Fire Science Program
0599wfz09,8,2020,TRUE,Animal and Plant Health Inspection Service
04qn9mx93,8,2020,TRUE,Division of Biological Infrastructure
03tns0030,8,2020,TRUE,Environmental Protection Agency
0114b2m14,8,2020,TRUE,Office of Biological and Environmental Research
02jzrsm59,8,2020,TRUE,National Institute on Alcohol Abuse and Alcoholism
011hc8f90,7,2020,TRUE,DEVCOM Army Research Laboratory
0060t0j89,7,2020,TRUE,United States National Library of Medicine
029b7h395,6,2020,TRUE,Directorate for Mathematical & Physical Sciences
01qa5ep47,6,2020,TRUE,Materials Research Science and Engineering Centers
05mbkbj54,6,2020,TRUE,United States Department of Labor
0493hgw16,6,2020,TRUE,National Institute on Minority Health and Health Disparities
04evh7y43,6,2020,TRUE,Division of Acquisition and Cooperative Support
